Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
1,Miami Dolphins,MIA,  at  NYJ,1,23,3.0645161290323,3.0010981918736
2,Houston Texans,HOU,  vs.  TEN,1,25,4.1847826086957,4.6436711204046
3,St. Louis Rams,STL,  vs.  OAK,1,27,4.8617021276596,4.3676788319835
4,Indianapolis Colts,IND,  vs.  WAS,1,20,5.0957446808511,3.7729979866351
5,Buffalo Bills,BUF,  vs.  CLE,1,23,5.9042553191489,3.4612417797976
6,Detroit Lions,DET,  vs.  CHI,1,25,6.2127659574468,4.1253557949086
7,Arizona Cardinals,ARI,  at  ATL,1,20,7.8924731182796,3.5994693921731
8,Seattle Seahawks,SEA,  at  SF,1,17,8.4574468085106,2.9667121052195
9,Cincinnati Bengals,CIN,  at  TB,2,26,9.6276595744681,4.1641428904121
10,San Francisco 49ers,SF,  vs.  SEA,1,23,9.8510638297872,3.3004108280976
11,New York Giants,NYG,  at  JAC,2,28,9.8172043010753,3.8797689670689
12,Philadelphia Eagles,PHI,  at  DAL,1,31,13.54347826087,4.6401205088321
13,Denver Broncos,DEN,  at  KC,3,27,13.54347826087,4.4876958440449
14,Minnesota Vikings,MIN,  vs.  CAR,2,32,13.461538461538,4.8568693672693
15,Baltimore Ravens,BAL,  vs.  SD,4,27,13.943820224719,3.6760981713542
16,Cleveland Browns,CLE,  at  BUF,4,25,15.29347826087,3.2321013607325
17,Dallas Cowboys,DAL,  vs.  PHI,7,28,16.528735632184,3.5358235004962
18,Carolina Panthers,CAR,  at  MIN,3,30,17.305882352941,4.0088828703907
19,Tennessee Titans,TEN,  at  HOU,8,30,19.78313253012,3.1965651473843
20,New York Jets,NYJ,  vs.  MIA,8,32,21.216216216216,4.0545945585634
21,Green Bay Packers,GB,  vs.  NE,2,32,20.4,6.8264192663504
22,New England Patriots,NE,  at  GB,6,32,21.571428571429,5.8936146699246
23,San Diego Chargers,SD,  at  BAL,5,32,21.755555555556,7.1961580970699
24,Jacksonville Jaguars,JAC,  vs.  NYG,9,32,21.268292682927,5.8851793608571
25,Kansas City Chiefs,KC,  vs.  DEN,7,32,22.872340425532,6.5480775846292
26,Atlanta Falcons,ATL,  vs.  ARI,5,32,23.116279069767,5.1858900800268
27,Chicago Bears,CHI,  at  DET,13,32,21.916666666667,5.0737614799629
28,Tampa Bay Buccaneers,TB,  vs.  CIN,10,32,24.025641025641,5.0357042106123
29,Oakland Raiders,OAK,  at  STL,14,31,24.692307692308,4.8997846428543
30,Pittsburgh Steelers,PIT,  vs.  NO,14,32,23.857142857143,4.2971276595476
31,New Orleans Saints,NO,  at  PIT,15,31,25.542857142857,4.2650932472999
32,Washington Redskins,WAS,  at  IND,16,32,29.058823529412,3.6857529877225
