QB,Andrew Luck,10300
QB,Aaron Rodgers,10200
QB,Peyton Manning,9900
QB,Tom Brady,9600
RB,Matt Forte,9300
RB,DeMarco Murray,9000
QB,Drew Brees,9000
WR,Demaryius Thomas,9000
WR,Jordy Nelson,9000
WR,Dez Bryant,8900
WR,Randall Cobb,8800
RB,Marshawn Lynch,8800
QB,Jay Cutler,8800
WR,Calvin Johnson,8800
WR,Jeremy Maclin,8700
QB,Tony Romo,8700
RB,Arian Foster,8700
WR,Emmanuel Sanders,8600
RB,Eddie Lacy,8600
WR,A.J. Green,8600
QB,Russell Wilson,8500
WR,T.Y. Hilton,8500
WR,Mike Evans,8400
RB,Giovani Bernard,8400
WR,Brandon Marshall,8300
QB,Matthew Stafford,8300
WR,Alshon Jeffery,8200
RB,Adrian Peterson,8200
QB,Philip Rivers,8200
QB,Andy Dalton,8200
WR,Golden Tate,8100
QB,Ryan Tannehill,8100
RB,Andre Ellington,8000
WR,Julio Jones,8000
RB,Mark Ingram,7900
TE,Rob Gronkowski,7900
WR,DeSean Jackson,7900
QB,Joe Flacco,7800
WR,Josh Gordon,7800
RB,Justin Forsett,7700
WR,Jordan Matthews,7700
RB,LeSean McCoy,7700
QB,Matt Ryan,7600
RB,Alfred Morris,7600
TE,Jimmy Graham,7500
RB,Denard Robinson,7500
WR,Odell Beckham Jr.,7500
RB,Ahmad Bradshaw,7500
QB,Josh McCown,7500
QB,Mark Sanchez,7500
WR,Sammy Watkins,7500
QB,Kyle Orton,7500
RB,Jeremy Hill,7400
WR,DeAndre Hopkins,7400
QB,Michael Vick,7400
WR,Roddy White,7300
QB,Colin Kaepernick,7300
RB,Alfred Blue,7200
QB,Eli Manning,7200
RB,C.J. Anderson,7200
QB,Robert Griffin III,7200
RB,Lamar Miller,7100
TE,Julius Thomas,7100
QB,Brian Hoyer,7000
WR,Julian Edelman,7000
QB,Ryan Mallett,6900
WR,Brandon LaFell,6900
WR,Mike Wallace,6900
RB,Frank Gore,6900
WR,Reggie Wayne,6900
WR,Anquan Boldin,6800
WR,Michael Floyd,6800
WR,Mohamed Sanu,6800
WR,Michael Crabtree,6800
RB,Joique Bell,6700
RB,Ronnie Hillman,6700
WR,Rueben Randle,6700
WR,John Brown,6700
RB,Jonas Gray,6700
RB,Rashad Jennings,6600
WR,Brandin Cooks,6600
QB,Drew Stanton,6600
WR,Torrey Smith,6500
RB,Fred Jackson,6500
QB,Zach Mettenberger,6500
WR,Vincent Jackson,6500
QB,Teddy Bridgewater,6500
WR,Keenan Allen,6500
WR,Larry Fitzgerald,6500
RB,Shane Vereen,6500
RB,Ben Tate,6400
WR,Kendall Wright,6400
QB,Charlie Whitehurst,6400
RB,Ryan Mathews,6400
WR,Kenny Britt,6400
WR,Percy Harvin,6400
WR,Steve Smith,6400
RB,Steven Jackson,6400
WR,Andre Johnson,6400
RB,Andre Williams,6300
QB,Shaun Hill,6300
WR,Doug Baldwin,6300
QB,Blake Bortles,6300
TE,Antonio Gates,6300
WR,Cecil Shorts,6300
WR,Pierre Garcon,6300
RB,Pierre Thomas,6200
RB,Montee Ball,6200
TE,Martellus Bennett,6200
WR,Andrew Hawkins,6200
WR,Taylor Gabriel,6100
RB,Terrance West,6100
WR,Eric Decker,6100
QB,Jake Locker,6000
RB,Branden Oliver,6000
WR,Robert Woods,6000
RB,Reggie Bush,6000
QB,Austin Davis,6000
WR,Jarvis Landry,6000
RB,Bobby Rainey,6000
RB,Darren Sproles,6000
QB,Colt McCoy,6000
WR,Marques Colston,6000
RB,Lorenzo Taliaferro,5900
RB,Christopher Ivory,5900
RB,James Starks,5900
WR,Kenny Stills,5900
TE,Dwayne Allen,5900
WR,Allen Hurns,5900
RB,Theo Riddick,5900
RB,Bryce Brown,5900
RB,Juwan Thompson,5900
WR,Louis Murphy,5800
RB,Bishop Sankey,5800
RB,Matt Asiata,5800
WR,Wes Welker,5800
WR,Cordarrelle Patterson,5800
WR,Terrance Williams,5800
TE,Jason Witten,5700
WR,Donte Moncrief,5700
RB,Roy Helu,5700
RB,Trent Richardson,5700
D,Indianapolis Colts,5600
WR,Malcom Floyd,5600
RB,Chris Johnson,5600
WR,Andre Caldwell,5600
RB,Tre Mason,5600
RB,Jerick McKinnon,5600
D,Green Bay Packers,5500
WR,Eddie Royal,5500
RB,Donald Brown,5500
RB,Isaiah Crowell,5500
TE,Larry Donnell,5500
WR,Preston Parker,5500
RB,Joseph Randle,5500
TE,Delanie Walker,5500
TE,Jermaine Gresham,5500
WR,Greg Jennings,5500
RB,Doug Martin,5500
WR,Travis Benjamin,5400
TE,Coby Fleener,5400
RB,Stepfan Taylor,5400
TE,Owen Daniels,5400
RB,Chris Polk,5400
WR,Steve Johnson,5400
K,Adam Vinatieri,5400
WR,Chris Hogan,5400
WR,Justin Hunter,5300
RB,Carlos Hyde,5300
TE,Jacob Tamme,5300
RB,Anthony Dixon,5300
K,Stephen Gostkowski,5300
D,San Francisco 49ers,5300
WR,Davante Adams,5300
RB,Bernard Pierce,5300
D,Arizona Cardinals,5300
RB,Benny Cunningham,5300
D,New England Patriots,5200
WR,Brandon Lloyd,5200
K,Steven Hauschka,5200
TE,Charles Clay,5200
TE,Jared Cook,5200
D,Buffalo Bills,5200
TE,Tim Wright,5200
WR,Charles Johnson,5200
WR,Jermaine Kearse,5200
D,Baltimore Ravens,5200
WR,Brian Hartline,5200
WR,Riley Cooper,5200
WR,Rishard Matthews,5200
RB,Silas Redd,5200
RB,Storm Johnson,5200
WR,Brandon Tate,5200
K,Mike Nugent,5100
WR,Brandon Gibson,5100
TE,Garrett Graham,5100
D,Houston Texans,5100
K,Justin Tucker,5100
D,San Diego Chargers,5100
D,Philadelphia Eagles,5100
TE,Austin Seferian-Jenkins,5100
WR,Damaris Johnson,5100
WR,T.J. Graham,5100
WR,Harry Douglas,5100
TE,Kyle Rudolph,5100
K,Caleb Sturgis,5100
K,Dan Carpenter,5100
K,Phil Dawson,5100
K,Dan Bailey,5100
WR,Corey Fuller,5100
K,Cody Parkey,5000
QB,Brock Osweiler,5000
TE,Brandon Bostick,5000
